usa,china
0,1
0,1
0,1
1,1
1,1
1,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
3,1
3,1
3,1
3,1
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
4,2
4,2
4,2
5,2
5,3
5,3
5,3
5,3
5,4
5,4
5,4
5,4
5,4
6,4
6,4
6,5
6,5
6,6
6,6
6,6
6,6
7,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
9,6
9,7
9,7
10,7
11,7
11,7
12,7
12,7
12,7
13,7
13,7
13,8
13,8
14,8
14,8
14,8
14,8
14,9
14,9
15,9
15,9
15,9
15,9
15,9
15,9
15,10
15,10
15,10
15,10
16,10
16,10
16,10
16,10
16,10
17,10
17,10
18,10
18,10
19,10
20,10
20,10
20,10
21,10
21,10
22,10
22,10
23,10
24,10
25,10
25,10
25,10
25,10
25,11
26,11
26,11
26,11
26,12
26,12
26,12
26,12
26,12
26,12
26,12
26,13
27,13
27,13
27,13
27,13
28,13
28,13
29,13
29,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,13
30,14
31,14
31,15
31,15
31,15
31,15
31,15
32,15
32,15
33,15
34,15
35,15
36,15
36,15
37,15
37,15
37,15
37,16
37,16
38,16
38,16
38,16
39,16
40,16
40,16
40,16
41,16
41,16
42,16
42,17
42,18
42,18
42,18
42,18
42,18
42,18
42,19
42,19
42,20
43,20
43,21
43,22
43,22
43,22
43,22
43,22
43,22
43,22
43,22
43,22
43,23
43,23
44,23
44,24
44,24
44,24
44,24
45,24
45,24
45,24
45,24
45,24
45,24
46,24
47,24
48,24
48,24
48,24
49,24
49,25
49,25
50,25
50,25
50,25
50,25
50,25
50,25
51,25
51,26
51,26
51,26
52,26
52,26
52,26
52,26
53,26
53,26
53,26
53,26
54,26
54,26
54,26
54,26
54,26
54,26
54,26
54,27
54,28
54,28
54,28
54,28
54,28
55,28
56,28
57,28
57,28
57,28
57,28
57,28
58,28
58,28
58,28
58,28
58,28
58,29
58,29
58,29
58,29
58,29
58,29
58,30
59,30
60,30
61,30
61,30
61,31
61,31
62,31
62,31
62,32
63,32
63,32
64,32
64,32
64,33
64,34
64,35
64,35
64,35
64,36
64,36
64,36
64,36
64,36
64,36
64,36
64,36
65,36
65,36
65,36
65,37
65,38
65,38
66,38
66,38
67,38
67,38
67,38
67,38
68,38
69,38
69,38
69,38
69,38
69,38
69,39
69,39
69,39
70,39
70,39
70,39
70,39
71,39
72,39
72,39
73,39
73,39
73,39
73,39
73,39
73,39
74,39
74,40
74,40
74,40
74,40
74,40
75,40
75,41
75,41
75,41
75,42
75,42
75,42
75,42
75,42
76,42
76,42
77,42
77,43
77,43
77,43
78,43
78,43
78,43
79,43
80,43
81,43
81,43
82,43
82,43
82,43
82,43
82,43
82,43
82,43
83,43
83,43
83,43
83,43
83,43
83,44
83,44
83,45
83,46
83,46
83,46
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
84,47
84,47
84,47
84,47
84,47
85,47
86,47
86,47
86,47
86,47
86,47
86,48
87,48
87,48
88,48
88,48
88,48
88,48
88,48
88,48
88,49
88,49
88,49
88,49
88,49
88,49
89,49
89,50
89,50
89,50
89,50
89,50
89,50
89,51
89,51
89,51
89,51
90,51
90,51
90,51
90,51
90,51
90,51
90,51
90,51
90,51
90,51
90,52
91,52
91,52
91,52
92,52
92,52
92,53
92,53
92,53
92,53
92,53
92,53
92,53
92,53
92,53
92,54
92,54
92,54
92,54
92,54
92,54
92,54
92,54
93,54
93,54
93,54
93,55
94,55
94,55
94,55
94,55
95,55
95,55
96,55
96,55
96,55
97,55
97,55
97,55
97,56
97,56
97,56
97,56
97,56
97,56
98,56
98,56
98,56
98,56
98,56
99,56
99,56
99,56
99,56
99,56
100,56
100,56
100,56
100,56
100,56
100,56
100,56
100,56
100,56
100,56
100,56
100,56
100,57
100,57
100,57
101,57
101,58
101,58
102,58
102,58
102,58
102,58
102,58
102,59
102,59
102,59
102,59
102,59
102,59
102,59
102,59
103,59
103,59
103,59
103,59
103,59
103,60
104,60
104,60
104,60
104,60
104,60
104,60
104,60
104,61
104,61
104,61
105,61
105,61
106,61
106,62
106,62
106,62
106,62
106,62
107,62
108,62
108,62
108,62
108,62
108,62
108,63
108,63
108,63
108,64
108,64
109,64
109,64
110,64
110,65
110,65
110,65
111,65
111,65
111,65
112,65
112,65
112,66
112,66
112,66
113,66
114,66
114,66
114,66
114,67
115,67
116,67
116,67
116,67
116,67
116,68
116,69
116,70
116,70
116,71
116,71
116,71
116,72
116,72
116,72
116,72
117,72
117,72
118,72
118,72
118,73
118,73
119,73
119,73
119,73
119,73
119,73
120,73
120,73
120,73
120,73
121,73
121,73
121,73
121,73
121,73
122,73
122,73
122,73
122,73
122,73
122,73
122,73
123,73
123,74
124,74
124,74
125,74
125,75
126,75
126,75
126,75
127,75
127,75
127,75
127,75
128,75
128,75
128,75
129,75
129,75
129,75
129,75
129,75
129,75
129,75
129,75
129,75
129,75
129,75
130,75
130,75
131,75
131,75
132,75
132,75
133,75
133,75
133,75
133,75
134,75
135,75
135,75
135,75
135,75
135,76
135,76
135,76
136,76
136,76
136,76
136,76
136,76
136,76
136,76
136,77
136,77
136,77
137,77
137,78
137,78
137,78
137,79
137,79
137,80
137,80
137,80
137,80
137,81
137,81
137,81
137,81
137,82
137,82
137,82
137,82
138,82
138,82
138,83
139,83
139,83
140,83
140,83
140,83
141,83
141,83
141,83
141,83
141,83
141,83
141,83
141,83
142,83
142,83
143,83
143,83
144,83
144,83
144,83
144,83
144,83
144,83
144,83
144,83
144,83
144,83
144,84
144,84
145,84
146,84
146,84
146,84
147,84
148,84
148,84
148,84
148,84
149,84
149,84
149,85
149,85
149,85
150,85
150,85
151,85
151,85
152,85
153,85
153,85
154,85
154,85
154,85
154,85
154,85
154,85
154,85
154,85
154,85
154,85
154,85
154,85
154,85
155,85
155,85
155,85
155,85
156,85
156,85
156,85
156,85
156,85
156,85
157,85
157,86
157,86
158,86
158,86
158,86
158,86
159,86
160,86
161,86
161,86
161,86
161,86
161,87
161,87
161,87
161,87
161,87
161,87
162,87
162,88
162,88
162,88
163,88
163,88
163,88
163,88
163,88
163,89
163,89
163,89
164,89
164,89
164,89
164,89
164,89
165,89
166,89
166,89
166,89
166,89
166,89
166,89
167,89
168,89
169,89
169,89
169,89
169,89
169,89
170,89
170,89
170,90
170,90
170,90
170,90
170,90
170,90
170,90
170,90
170,90
170,90
171,90
171,90
171,90
171,90
171,90
172,90
172,90
172,90
172,90
172,90
172,91
172,91
172,91
172,91
172,91
172,91
173,91
173,91
174,91
174,91
174,91
175,91
175,91
176,91
177,91
177,91
177,91
178,91
179,91
179,91
179,91
179,91
179,91
180,91
180,91
180,91
180,92
180,92
181,92
181,92
181,92
181,92
181,92
181,92
182,92
182,93
182,93
183,93
183,93
183,94
183,94
183,94
183,94
183,94
183,94
183,94
183,94
183,95
183,96
183,96
183,96
183,96
183,96
183,96
184,96
185,96
185,96
185,96
185,96
185,96
185,96
186,96
186,97
187,97
188,97
188,98
189,98
189,98
189,98
189,98
189,98
189,99
189,99
189,99
189,99
189,99
189,99
189,99
190,99
190,99
191,99
191,99
191,99
191,99
191,99
191,99
192,99
192,99
192,99
192,100
192,100
192,100
192,101
193,101
194,101
194,101
194,101
195,101
195,101
195,101
195,101
195,102
195,103
195,103
195,103
196,103
196,103
196,103
196,104
196,104
196,104
196,104
196,104
197,104
197,104
198,104
198,104
198,104
198,104
198,104
198,104
199,104
199,104
199,104
199,104
199,104
200,104
200,104
200,104
200,104
200,104
200,104
200,105
200,105
201,105
201,105
201,105
201,105
201,105
202,105
202,105
203,105
204,105
204,105
205,105
206,105
206,106
206,106
206,106
206,106
206,107
207,107
207,107
207,107
208,107
208,107
208,107
208,108
208,108
208,108
208,109
208,109
208,109
209,109
210,109
210,109
210,109
211,109
211,109
211,109
